valid_time,t2m,tp,latitude,longitude
2022-07-15 07:00:00,277.48346,1.7642975e-05,78.0,20.0
2022-07-15 08:00:00,277.5047,1.5735626e-05,78.0,20.0
2022-07-15 09:00:00,277.55188,2.4318695e-05,78.0,20.0
2022-07-15 10:00:00,277.7852,4.4345856e-05,78.0,20.0
2022-07-15 11:00:00,277.81528,6.055832e-05,78.0,20.0
2022-07-15 12:00:00,277.83017,4.673004e-05,78.0,20.0
2022-07-15 13:00:00,277.8526,0.00015497208,78.0,20.0
2022-07-15 14:00:00,277.86005,0.00012683868,78.0,20.0
2022-07-15 15:00:00,277.8274,6.484985e-05,78.0,20.0
2022-07-15 16:00:00,277.853,4.053116e-05,78.0,20.0
2022-07-15 17:00:00,277.90387,2.6226044e-05,78.0,20.0
2022-07-15 18:00:00,277.91632,1.7642975e-05,78.0,20.0
2022-07-15 19:00:00,277.88873,2.4795532e-05,78.0,20.0
2022-07-15 20:00:00,277.80798,2.670288e-05,78.0,20.0
2022-07-15 21:00:00,277.7566,3.528595e-05,78.0,20.0
2022-07-15 22:00:00,277.75073,0.0001039505,78.0,20.0
2022-07-15 23:00:00,277.7727,0.0001745224,78.0,20.0
2022-07-16 00:00:00,277.76096,0.00061798096,78.0,20.0
2022-07-16 01:00:00,277.74323,0.000936985,78.0,20.0
2022-07-16 02:00:00,277.68375,0.00031995773,78.0,20.0
2022-07-16 03:00:00,277.664,0.00015258789,78.0,20.0
2022-07-16 04:00:00,277.66034,9.10759e-05,78.0,20.0
2022-07-16 05:00:00,277.63782,2.9087067e-05,78.0,20.0
2022-07-16 06:00:00,277.64514,5.2452087e-06,78.0,20.0
2022-07-16 07:00:00,277.72122,7.247925e-05,78.0,20.0
2022-07-16 08:00:00,277.9666,9.584427e-05,78.0,20.0
2022-07-16 09:00:00,278.16266,0.00013160706,78.0,20.0
2022-07-16 10:00:00,278.4629,0.00012302399,78.0,20.0
2022-07-16 11:00:00,278.5537,0.00015687943,78.0,20.0
2022-07-16 12:00:00,278.57,0.00011968613,78.0,20.0
2022-07-16 13:00:00,278.5761,7.867813e-05,78.0,20.0
2022-07-16 14:00:00,278.50397,5.8174133e-05,78.0,20.0
2022-07-16 15:00:00,278.40942,6.2942505e-05,78.0,20.0
2022-07-16 16:00:00,278.3751,4.053116e-05,78.0,20.0
2022-07-16 17:00:00,278.44785,5.4359436e-05,78.0,20.0
2022-07-16 18:00:00,278.48297,5.38826e-05,78.0,20.0
2022-07-16 19:00:00,278.52844,4.196167e-05,78.0,20.0
2022-07-16 20:00:00,278.75302,4.196167e-05,78.0,20.0
2022-07-16 21:00:00,278.78668,3.5762787e-05,78.0,20.0
2022-07-16 22:00:00,278.312,2.9563904e-05,78.0,20.0
2022-07-16 23:00:00,278.26938,3.0517578e-05,78.0,20.0
2022-07-17 00:00:00,278.25037,4.1484833e-05,78.0,20.0
2022-07-17 01:00:00,278.20367,1.2874603e-05,78.0,20.0
2022-07-17 02:00:00,278.04373,2.2411346e-05,78.0,20.0
2022-07-17 03:00:00,277.7535,1.0967255e-05,78.0,20.0
2022-07-17 04:00:00,277.66995,1.4781952e-05,78.0,20.0
2022-07-17 05:00:00,277.71558,1.001358e-05,78.0,20.0
2022-07-17 06:00:00,277.89893,2.1457672e-05,78.0,20.0
2022-07-17 07:00:00,278.08215,0.00016498566,78.0,20.0
2022-07-17 08:00:00,278.1723,0.00026607513,78.0,20.0
2022-07-17 09:00:00,278.11963,0.00029945374,78.0,20.0
2022-07-17 10:00:00,278.14148,0.00030136108,78.0,20.0
2022-07-17 11:00:00,278.15204,0.00020885468,78.0,20.0
2022-07-17 12:00:00,278.21524,0.00019264221,78.0,20.0
2022-07-17 13:00:00,278.1902,0.00032138824,78.0,20.0
2022-07-17 14:00:00,278.18307,0.00016880035,78.0,20.0
2022-07-17 15:00:00,278.2149,0.000118255615,78.0,20.0
2022-07-17 16:00:00,278.1798,0.00012207031,78.0,20.0
2022-07-17 17:00:00,278.18045,6.580353e-05,78.0,20.0
